offset,singular_series,observed_count,predicted_count,weighted_observed,weighted_predicted,mean_count_residual,std_count_residual,mean_psi_residual,std_psi_residual,aggregate_count_residual,aggregate_psi_residual,omega,big_omega,largest_prime_factor,reciprocal_factor_sum
44,1.4670262574374882,480314,480130.0726993944,145324840.83920887,145234824.8964474,-0.0005034422101771334,0.004225575074565629,-0.00023851144283806665,0.004280575592536134,0.00038307806793169696,0.000619795856990013,2,3,11,0.5909090909090909
46,1.3831961855839174,452461,452693.94001618656,136888473.30497587,136935658.8485134,-0.0012946395439589501,0.0035077666699163757,-0.0010315307400247918,0.0034984339635763893,-0.0005145640257040451,-0.0003445818564302705,2,2,23,0.5434782608695652
48,2.6406472633874785,863630,864233.6401119842,261313441.0468886,261422558.06253666,-0.0009010054763415124,0.0034486874278966237,-0.00027563358142303196,0.003343672998331778,-0.0006984686593616285,-0.0004173970924955528,2,5,3,0.8333333333333333
50,1.7604315089249856,575488,576155.5964923475,174115570.57548118,174281663.1246682,-0.0016948419566098166,0.003729347065030615,-0.0012546732254275334,0.0036326793118208367,-0.0011587086828833693,-0.0009530121884837595,2,3,5,0.7
52,1.4403530527568065,471205,471399.8996536682,142555920.82195163,142594053.4426189,0.0011940964731545834,0.005574467908902645,0.0015444254035735835,0.005661344581984372,-0.00041344865328019065,-0.00026742083380515425,2,3,13,0.5769230769230769
54,2.6406472633874785,864795,864232.9039915956,261649843.74576852,261422367.9359337,0.00039385027490429963,0.0018072524135101923,0.0007615493988027549,0.0018444463084823389,0.000650398759186599,0.0008701466964393667,2,4,3,0.8333333333333333
56,1.5843883580324871,517726,518539.59517087974,156642062.29683876,156853382.7362396,-0.0025407879769022506,0.0039025747285509637,-0.0021863686997530165,0.003842711438360251,-0.001569012624024646,-0.0013472482117660167,2,4,7,0.6428571428571428
58,1.369224506941655,447974,448120.5105713103,135576152.3836995,135552273.20696706,-0.0018160700538820335,0.00552186385966588,-0.0010709214028513747,0.0054154606573848475,-0.0003269445781972635,0.00017616212673909892,2,2,29,0.5344827586206896
60,3.520863017849971,1152474,1152309.5571616094,348699538.0461476,348562903.74577427,-0.0002579366597756916,0.002075171082185175,0.00016962677957566672,0.0020839952406811733,0.00014270717219044826,0.00039199323538152697,3,4,5,1.0333333333333332
62,1.3658520327866268,447004,447016.5116367643,135250117.51658812,135218335.05196366,0.0005057614758254668,0.005350080289026812,0.0010451801158162333,0.005572174871058368,-2.798920495905577e-05,0.00023504552553643698,2,2,31,0.532258064516129
64,1.3203236316937392,432065,432115.8385621407,130727473.3140644,130711025.52913105,-0.0006818638490058748,0.0051910269498176035,-0.00031692962906931663,0.005176726865535551,-0.0001176503094861836,0.0001258331871145657,1,6,2,0.5
66,2.9340525148749763,959767,960257.1463897985,290365467.6918568,290468875.2030309,-0.0008398535572669072,0.0036515247913059753,-0.00058778996364149,0.0035929568815535272,-0.0005104324311890895,-0.00035600203671326547,3,3,11,0.9242424242424242
68,1.4083452071399885,460894,460923.2994012564,139464143.14207572,139425026.29716983,-0.0017653321393492334,0.009462805501988318,-0.0011014664191749375,0.00926160943814178,-6.356676109542381e-05,0.0002805582752589686,2,3,17,0.5588235294117647
70,2.1125178107099827,691620,691384.7528031142,209249749.46484888,209137488.7453273,0.0015664349674648585,0.006238596292468935,0.0019478116109826263,0.006381332419487625,0.0003402551125577524,0.000536779513778507,3,3,7,0.8428571428571427
72,2.6406472633874785,864039,864230.6956304299,261449457.15627244,261421797.55612478,-0.0009144306199496914,0.004316539024882687,-0.000365220636079875,0.004363193282648205,-0.0002218107172067274,0.00010580449069763631,2,5,3,0.8333333333333333
74,1.358047164027846,443979,444461.3744178688,134314594.68082404,134445463.29287508,-0.001711355960559783,0.007186368333133484,-0.0014390501017465835,0.007087333698840788,-0.00108530109843763,-0.0009733955229560554,2,2,37,0.527027027027027
76,1.3979897276757238,457544,457533.63787950226,138411146.57013866,138399708.07326502,0.0014006040900094165,0.006441238797382526,0.001661887969207721,0.006564236555425494,2.2647778523454676e-05,8.264827312776113e-05,2,3,19,0.5526315789473684
78,2.8807061055136125,942418,942796.3194654996,285129218.309922,285187208.1049329,0.00042904886887008045,0.003362813220963143,0.0008994127353486834,0.0035970306505609595,-0.00040127380398990997,-0.00020333939729022532,3,3,13,0.9102564102564101
80,1.7604315089249856,576578,576153.142757719,174441562.28875512,174281029.369325,0.0013361865480055832,0.0032824439925328336,0.0019261608122510584,0.0033621350053497597,0.0007374033234417432,0.0009211152815142842,2,5,5,0.7
82,1.3541780837884505,442988,443194.5993657003,134028671.47974828,134062297.78382212,0.0005160452899299919,0.005261710013813596,0.0009344764877795082,0.005423151527561245,-0.0004661594838836214,-0.00025082595651215733,2,2,41,0.524390243902439
84,3.1687767160649742,1036203,1037075.0680675835,313492573.2021181,313705700.76350266,-0.0010930947333624918,0.002927784317112551,-0.0007355994921738588,0.0029715200160893495,-0.0008408919416107441,-0.0006793869568383348,3,4,7,0.976190476190476
86,1.3525266471009036,442992,442653.86678878026,134012055.06153817,133898742.25548966,0.0014886482239389084,0.004532102010052959,0.0016976386126209084,0.004572084358913125,0.0007638772336333588,0.0008462574340863949,2,2,43,0.5232558139534884
88,1.4670262574374882,479579,480127.07369040407,145092710.88967866,145234050.30658346,-0.00039881920568072497,0.002665144165303479,7.181178836045836e-05,0.002838396051042056,-0.0011415179864601166,-0.0009731837444899583,2,4,11,0.5909090909090909
90,3.520863017849971,1152493,1152304.6496923524,348682100.8455849,348561636.2350879,3.870183623926089e-05,0.0030058573885009586,0.00044442133427611673,0.0029330660367872454,0.00016345530472161585,0.0003456049030474695,3,4,5,1.0333333333333332
92,1.3831961855839174,452806,452690.9838501818,136995028.41418052,136934895.32421893,-0.0005832546992908085,0.005592034002526368,-0.00025712445308090836,0.005419232037627848,0.00025407210198880037,0.00043913634884096275,2,3,23,0.5434782608695652
94,1.349664156842489,441876,441716.531555862,133671786.43345548,133615229.10623749,0.001509063624877604,0.005347303589808246,0.0016782594904568209,0.005304637565889435,0.0003610198685033428,0.0004232850371646002,2,2,47,0.5212765957446809
96,2.6406472633874785,864358,864227.7511488758,261501978.66044605,261421037.04971296,-0.0004820427238968334,0.002369585792359903,-0.00020157980741030053,0.0022719031143729677,0.00015071125747945224,0.00030962164195558195,2,6,3,0.8333333333333333
98,1.5843883580324871,518809,518536.5034652478,157005763.2292157,156852584.20450717,-0.0014742442731100083,0.004482125193825065,-0.00083991335839655,0.004154823558804388,0.0005255108038317857,0.000976579541136724,2,3,7,0.6428571428571428
100,1.7604315089249856,575994,576151.5069346335,174262085.27418467,174280606.86576286,-0.00032843837566040823,0.0028855207240825933,0.00019847826973405004,0.0028566209540160574,-0.00027337763199042353,-0.00010627454144940263,2,4,5,0.7
102,2.816690414279977,921115,921842.1493637197,278667947.4736179,278848903.38465065,0.00032709176161366656,0.003942074551678456,0.0008801184774268833,0.004119291106377885,-0.000788800299727721,-0.0006489389373108834,3,3,17,0.892156862745098
104,1.4403530527568065,471942,471396.4198118315,142777699.77916208,142593154.662314,0.0021908880454781666,0.005186704674067678,0.0024894958797760415,0.005288841285537569,0.0011573702413485432,0.0012942074062749498,2,4,13,0.5769230769230769
106,1.346212330354401,440517,440586.0712023647,133276976.84488125,133273308.32300146,-0.0007623066399867498,0.008699229163806391,-0.0005139521619688419,0.008625841306361752,-0.00015677118928469902,2.752630609959006e-05,2,2,53,0.5188679245283019
108,2.6406472633874785,864103,864226.2789080987,261480529.21586508,261420656.79650703,-0.0005357590463570667,0.004398802798855789,3.2686365466075024e-05,0.004485308636537483,-0.0001426465627202278,0.00022902711702932343,2,5,3,0.8333333333333333
110,1.9560350099166508,639709,640167.4322478785,193570341.8604011,193644884.01553535,-0.0015598921970207214,0.0033114309340229243,-0.0011038477044133083,0.0033050507022192354,-0.0007161130429094165,-0.0003849425483829494,3,3,11,0.7909090909090909
112,1.5843883580324871,518009,518535.47289670387,156756214.78157237,156852318.02726305,-0.0014842372033012086,0.0033658300814628224,-0.0009713031948162834,0.003464271581754482,-0.0010153073882541719,-0.000612698918953658,2,5,7,0.6428571428571428
114,2.795979455351448,914771,915062.3394222814,276745897.3551368,276798141.1798984,0.0003635487860751691,0.0034283404423573294,0.0005934539778814098,0.0034865529758203308,-0.00031838204866485587,-0.0001887434089653528,3,3,19,0.8859649122807016
116,1.369224506941655,448183,448116.82088146155,135604314.0641747,135551320.2267102,-0.0021281046965280002,0.004978072306799481,-0.0019140887098643832,0.004905089347825601,0.00014768273685472622,0.0003909503601726705,2,3,29,0.5344827586206896
118,1.3434872041795944,438752,439693.44752952195,132729740.83776745,133003330.83589873,-0.0038604313444402585,0.008478311868627608,-0.0035821746690063755,0.008328510035179431,-0.002141145233825026,-0.002057016139459189,2,2,59,0.5169491525423728
120,3.520863017849971,1152361,1152299.7422230956,348634327.93869644,348560368.7244014,-0.000634268610728937,0.002942927659257357,-0.00029159680695572504,0.0028505642333538205,5.316132136434781e-05,0.00021218480622353653,3,5,5,1.0333333333333332
122,1.342701998332616,439482,439436.21760704677,132984271.00284009,132925532.11920342,-0.0011173240126919166,0.003977927767144653,-0.000516953760264025,0.0037653544666082094,0.00010418438699155708,0.0004418931615335353,2,2,61,0.5163934426229508
