offset,component_1,component_2,component_3,component_4,component_5
324,-0.009587681453261105,-0.007771531532426812,-0.007728670368332106,-0.0029693962941062984,-0.010036169784476582
326,-0.009585931461179883,0.011871604994417981,-0.021433157476709312,-0.038885622086841876,0.005935479021778809
328,-0.0008999816790062857,-0.023366668239361787,0.0052604845883051496,-0.004287390593315329,0.003456843255196534
330,-0.006275324987600326,-0.004200177776075147,-0.002633130145507619,-0.009008414726125432,0.01875246070078998
332,-0.00041409453982108984,-0.007129117974632215,-0.00818899347200462,0.013405501954272373,-0.026762840027440605
334,-0.026872690573596782,-0.011477750981917395,0.009656258517833964,-0.01146503038321309,-0.0035909175420935193
336,0.017629514274895577,-0.006703984131809135,-0.0033232138854355515,-0.03458494473433512,0.006677393892862191
338,-0.01586340116522711,-0.023874011384893347,0.029514906121213016,-0.017473539421635667,-0.014428086587165061
340,-0.014789032231991461,-0.007503588146958552,0.007114207936000658,0.012044990825892141,0.011314471379268599
342,0.0010185251429042834,-0.013076895913697265,-0.004358340125752671,-0.008353513733970107,0.006971403561815597
344,-0.004179894935540748,0.009171903675264074,-0.016165599870874642,-0.022996354608198318,-0.021833225993821124
346,-0.0006384586617709237,0.0066708844497945065,-0.0049242290768177,0.010457736331910618,-0.01490293387264198
348,-0.013182495275382946,-0.0020316309224419076,0.013298587170040949,0.002765271473889577,-7.79520898806636e-05
350,-0.007591598997308498,0.015043141172021943,0.009753567389312073,-0.0061627414696654404,-0.0002463943370158941
352,-0.018234807941894284,0.012672524013274197,0.03226363741723641,0.0035705129123819583,0.008960072580549348
354,-0.006659281558826284,-0.0011921667569065298,-0.017130455390305426,0.00050062827699925,0.003989044178973736
356,-0.01841320549601014,-0.002013206624052419,0.01815792962291555,-0.014504848236682188,-0.0010120080375508266
358,-0.03674022165991176,0.0004531747368078245,-0.023301602722271723,0.02319459552253042,-0.024567859607478666
360,0.013253252810632332,-0.00024387320197025172,-0.012379642685310346,-0.018557448577547774,-0.0032708288737746272
362,0.02334690591847435,-0.002644852158308545,-0.024921246089923212,-0.028226926064373933,-0.00047869761708249647
364,-0.03043468078987732,0.0013152810814271324,0.025356367386563515,0.000944222398398748,0.017503013846561836
366,-0.005397498324727922,0.0004276482552379133,-0.001524425772144498,-0.0049989636793418436,-0.012511928812765857
368,-0.019577624504873496,0.018475459523390216,-0.028090895358733756,-0.020472924060952313,0.01498081572747265
370,-0.004570250842272108,-0.0010454489666500992,0.01878484202218764,-0.009026446670551545,0.0007411548667983542
372,-0.012494629079291544,0.00741880443951799,-0.012322346821143472,0.003427792579247204,-0.014005669548321846
374,0.0020149534183776974,0.011146197121668614,-0.02074441629542813,-0.018396981513290903,0.0011275819019875904
376,-0.003911679819440707,0.03081954839029161,-0.01829116435966298,-0.015608206262567096,-0.00512458823098061
378,-0.00349856745521265,-0.01102259592727707,0.003353204163523237,0.0062323122073016796,-0.0050987885132445804
380,0.034280719786523826,-0.028788272437886144,-0.003829170377570462,-0.006844338872402271,0.0060373602113304135
382,0.00632969926030192,-0.006799421454947914,0.022393997760534082,-0.015291236281320687,0.03081977012541983
384,-0.016614395068734314,-0.018732334358282237,-0.007291451226228112,-0.01692172552415838,-0.000984517182804204
386,-0.0097711588531639,-0.020325411705849013,-0.02249222480780572,-0.01138429965053056,0.011872638740470797
388,0.01595942318653295,0.0012697532228998787,0.02646917980207989,0.0003860547937570381,-0.004896286698312981
390,-0.003261523743421175,0.006414397510377749,0.0012402095629033705,-0.0027265079848868673,-0.0018718123937452916
392,-0.010087232619312155,0.023729744078701345,-0.012518809926990983,-0.02420977388457881,-0.000920206050977089
394,0.010610337229402397,-0.012136978293950645,0.00041889177611223536,0.015163432369907569,-0.018930494293900292
396,-0.006990043245102361,0.007712919577621835,-0.015422093610814605,0.006431073570509935,-0.004494282480951699
398,-0.004752902017485891,-0.016393128762884134,-0.012914178561766979,-0.007666656105714698,-0.01308102636355011
400,-0.014060561118989904,0.012941094594297889,-0.015699476525245313,-0.0029086308048273516,0.0032881175954621055
402,0.009676455080936796,-0.004163614894870873,-0.0030773228266871067,-0.0024933929384749302,0.021286611668050622
404,-0.02210583061675202,-0.012755023557490228,-0.0067855628202524035,0.0070868452007469,-0.0008008866217213023
406,-0.006206797034104872,-0.01788091953049846,-0.007256534275928117,-0.02076559203379431,0.007871597875314563
408,-0.0024889276454486096,-0.003988064866425234,-0.023314463206772364,0.000308076542565368,0.004959169742304186
410,-0.006868271004902751,-0.015458501502591215,-0.0036020274402600214,-0.02243321608998947,-0.00727123980295318
412,0.014152413682963784,0.004403923473686545,-0.0006476469437766893,0.03833503635693459,0.01084722853105145
414,0.0006925097728276337,0.0015674723966337758,-0.004673130455445868,0.008492834705492723,0.00503822504425063
416,-0.015330343850627953,0.027648832447344587,0.017213515271001976,-0.01725790047038011,-0.021735177788268587
418,-0.010214317880850409,-0.004181971782213505,-0.01849677363838447,-0.01869037220480779,0.015193937913198062
420,0.0012108399916432569,-0.021653692586203616,0.005203772084306899,-0.0030279019713435433,-0.0007305251584937018
422,-0.0037268101374440536,-0.01189958076168802,-0.011705805648487133,0.011385773874910046,-0.007781800833050712
424,-0.01888878438523647,0.01383356492664443,-0.019089465737989354,0.0023770265096384312,-0.029397915355299713
426,0.0002812269283418332,0.007885768255085695,0.0061372957916699675,-0.037689395349718186,-0.0001999054946806182
428,-0.009751053865286314,-0.012736331842007497,-0.0004939400289212558,-0.002571999817421469,-0.008584656612308951
430,0.0007548125594103888,0.028261141102747682,0.00722829107492568,0.01595365493798824,-0.005213261994938094
432,-0.004972339099156426,-0.008356840562507536,0.0073467751361160905,0.011024445506007698,0.001823804580530633
434,0.005967828397687421,0.03549698865432812,-0.025554561286839583,-0.020161012834637317,-0.004712227467298459
436,0.010034846689659578,-0.011183490357280829,-0.027396308790985868,-0.023301682800998386,-0.007809708736058349
438,0.00802981207746093,0.004634803567437258,0.01793093918143403,-0.016999596753384433,-0.0012791121152168493
440,-0.020485492294147926,-0.0020092913290198676,0.007101362228199927,0.007548503642104695,-0.0008088054153593862
442,-0.010650964278411503,0.0014518303561443684,0.012795381957939231,-0.005524089803605713,-0.0024745528647581545
444,-0.019463632474900704,0.008613109926878589,-0.004507716573612062,0.0066055698848856426,-0.006176355069137293
446,0.004327993686892266,-0.013352384636981103,0.0006701422708255835,0.006053474138111649,0.00670207136929435
448,0.009616006850673174,0.014701821410969361,-0.011404422018061362,-0.007897134747685094,0.02879959190143094
450,-0.0036954111856452422,-0.0013503694354468463,0.008481769510647056,-0.014219658113492264,-0.00985648076554735
452,0.02730632663610582,0.009094089978513947,-0.03955561835854878,-0.00782643659512354,0.02329432803602205
454,-0.015117853319681204,-0.03775407164857822,0.026076770758135043,0.00093568321897074,0.027441585016001434
456,-0.0064800162831019584,0.0030371841342458836,-0.013869341542492385,-0.019196009831145184,-0.0010847990409396564
458,0.0035582399891589543,0.009583534188676981,-0.0037313248679595595,0.011417026980250905,0.02546960451746512
460,0.012075027578543554,-0.014698894536581231,0.003002646956524592,-0.002397216090767883,-0.011463460748947744
462,-0.006163855221859604,-0.009337957196550893,-0.01122045601211038,0.0025395726103471018,0.008089398157092958
464,-0.04245584197617125,0.006344349635789385,0.023212744286343838,0.007917188837911662,-0.01675797598042808
466,0.006209878383689591,-0.019569988758696654,-0.012241696857250826,0.022547456257304938,0.015073570510494624
468,0.004242618637443311,0.002749364276649144,-0.0014375309564593143,0.01542900000808963,0.0013762090851524658
470,-0.023757081907238135,-0.014414511040613703,-0.005790517392057541,-0.0027941327576669287,-0.018253442172340022
472,-0.0009017180333437694,-0.008871782289996358,0.01175728031817567,0.0014274579874547747,0.018841030488949605
474,-0.02272067839631733,-0.003830983053021411,-0.00229827822132187,-0.014891454906600094,0.005493477926722796
476,-0.005520305609479951,-0.009655581050943475,-0.007250381598331956,-0.009844523378166064,0.007521058324890434
478,0.004639314062144099,0.001998145232008094,0.008855586606997813,-0.022015754578619064,0.02194737042423253
480,0.0005859245425489926,0.00930955083637034,-0.011249400783274667,-0.005320893456112679,-0.00931620743425916
482,-0.014311860791200578,0.017572475506080244,-0.04299485403327523,-0.023359897183808785,-0.00908836160807175
484,-0.009027759118351856,-0.015664192519960863,-0.005775092289435617,0.009943448880042376,-0.004120413099011397
486,0.0040215158385878535,0.0056937345481417835,0.014543050186886565,-0.015353748777640685,-0.010360280349662352
488,0.02309468226978939,-0.0016465146160614076,-0.026130066164463693,0.008132779221451156,-0.002627570863654344
490,-0.013712388359679325,-0.006690585190761354,-0.014607161424508545,0.020876980774094372,-0.013105758819330625
